snail_id,date_collected,temp,caffeine_concentration,caffeine_mass_units,exposure_type,rep,mesocosm,date_dry_mass,dry_mass_g,date_poop_ash_free_dry_mass,poop_ash_free_dry_mass_g
99,20190718,12.5,10000,ng,chronic,I,p_g,,,,
100,20190718,12.5,10000,ng,chronic,J,p_g,,,,
101,20190718,12.5,10000,ng,chronic,K,p_g,,,,
102,20190718,12.5,10000,ng,chronic,L,p_g,,,,
103,20190718,12.5,10000,ng,chronic,M,p,,,,
104,20190718,12.5,10000,ng,chronic,N,p,,,,
105,20190718,12.5,10000,ng,chronic,O,p,,,,
106,20190718,12.5,1000000,ng,chronic,A,p_g,,,,
107,20190718,12.5,1000000,ng,chronic,B,p_g,,,,
108,20190718,12.5,1000000,ng,chronic,C,p_g,,,,
109,20190718,12.5,1000000,ng,chronic,D,p_g,,,,
110,20190718,12.5,1000000,ng,chronic,E,p_g,,,,
111,20190718,12.5,1000000,ng,chronic,F,p_g,,,,
112,20190718,12.5,1000000,ng,chronic,G,p_g,,,,
113,20190718,12.5,1000000,ng,chronic,H,p_g,,,,
114,20190718,12.5,1000000,ng,chronic,I,p_g,,,,
115,20190718,12.5,1000000,ng,chronic,J,p_g,,,,
116,20190718,12.5,1000000,ng,chronic,K,p_g,,,,
117,20190718,12.5,1000000,ng,chronic,L,p_g,,,,
118,20190718,12.5,1000000,ng,chronic,M,p,,,,
119,20190718,12.5,1000000,ng,chronic,N,p,,,,
120,20190718,12.5,1000000,ng,chronic,O,p,,,,
1,20190718,17.5,0,ng,chronic,A,p_g,20190723,,,
2,20190718,17.5,0,ng,chronic,B,p_g,20190723,,,
3,20190718,17.5,0,ng,chronic,C,p_g,20190723,,,
4,20190718,17.5,0,ng,chronic,D,p_g,20190723,,,
5,20190718,17.5,0,ng,chronic,E,p_g,20190723,,,
6,20190718,17.5,0,ng,chronic,F,p_g,20190723,,,
7,20190718,17.5,0,ng,chronic,G,p_g,20190723,,,
8,20190718,17.5,0,ng,chronic,H,p_g,20190723,,,
9,20190718,17.5,0,ng,chronic,I,p_g,20190723,,,
10,20190718,17.5,0,ng,chronic,J,p_g,20190723,,,
11,20190718,17.5,0,ng,chronic,K,p_g,20190723,,,
12,20190718,17.5,0,ng,chronic,L,p_g,20190723,,,
13,20190718,17.5,0,ng,chronic,M,p,20190723,,,
14,20190718,17.5,0,ng,chronic,N,p,20190723,,,
15,20190718,17.5,0,ng,chronic,O,p,20190723,,,
16,20190718,17.5,100,ng,chronic,A,p_g,20190723,,,
17,20190718,17.5,100,ng,chronic,B,p_g,20190723,,,
18,20190718,17.5,100,ng,chronic,C,p_g,20190723,,,
19,20190718,17.5,100,ng,chronic,D,p_g,20190723,,,
20,20190718,17.5,100,ng,chronic,E,p_g,20190723,,,
21,20190718,17.5,100,ng,chronic,F,p_g,20190723,,,
22,20190718,17.5,100,ng,chronic,G,p_g,20190723,,,
23,20190718,17.5,100,ng,chronic,H,p_g,20190723,,,
24,20190718,17.5,100,ng,chronic,I,p_g,20190723,,,
25,20190718,17.5,100,ng,chronic,J,p_g,20190723,,,
26,20190718,17.5,100,ng,chronic,K,p_g,20190723,,,
27,20190718,17.5,100,ng,chronic,L,p_g,20190723,,,
28,20190718,17.5,100,ng,chronic,M,p,20190723,,,
29,20190718,17.5,100,ng,chronic,N,p,20190723,,,
30,20190718,17.5,100,ng,chronic,O,p,20190723,,,
31,20190718,17.5,10000,ng,chronic,A,p_g,20190723,,,
32,20190718,17.5,10000,ng,chronic,B,p_g,20190723,,,
33,20190718,17.5,10000,ng,chronic,C,p_g,20190723,,,
34,20190718,17.5,10000,ng,chronic,D,p_g,20190723,,,
35,20190718,17.5,10000,ng,chronic,E,p_g,20190723,,,
36,20190718,17.5,10000,ng,chronic,F,p_g,20190723,,,
37,20190718,17.5,10000,ng,chronic,G,p_g,20190723,,,
38,20190718,17.5,10000,ng,chronic,H,p_g,20190723,,,
39,20190718,17.5,10000,ng,chronic,I,p_g,20190723,,,
40,20190718,17.5,10000,ng,chronic,J,p_g,20190723,,,
41,20190718,17.5,10000,ng,chronic,K,p_g,20190723,,,
42,20190718,17.5,10000,ng,chronic,L,p_g,20190723,,,
43,20190718,17.5,10000,ng,chronic,M,p,20190723,,,
44,20190718,17.5,10000,ng,chronic,N,p,20190723,,,
45,20190718,17.5,10000,ng,chronic,O,p,20190723,,,
46,20190718,17.5,1000000,ng,chronic,A,p_g,20190723,,,
47,20190718,17.5,1000000,ng,chronic,B,p_g,20190723,,,
48,20190718,17.5,1000000,ng,chronic,C,p_g,20190723,,,
49,20190718,17.5,1000000,ng,chronic,D,p_g,20190723,,,
50,20190718,17.5,1000000,ng,chronic,E,p_g,20190723,,,
51,20190718,17.5,1000000,ng,chronic,F,p_g,20190723,,,
52,20190718,17.5,1000000,ng,chronic,G,p_g,20190723,,,
53,20190718,17.5,1000000,ng,chronic,H,p_g,20190723,,,
54,20190718,17.5,1000000,ng,chronic,I,p_g,20190723,,,
55,20190718,17.5,1000000,ng,chronic,J,p_g,20190723,,,
56,20190718,17.5,1000000,ng,chronic,K,p_g,20190723,,,
57,20190718,17.5,1000000,ng,chronic,L,p_g,20190723,,,
58,20190718,17.5,1000000,ng,chronic,M,p,20190723,,,
59,20190718,17.5,1000000,ng,chronic,N,p,20190723,,,
60,20190718,17.5,1000000,ng,chronic,O,p,20190723,,,
61,20190718,12.5,0,ng,chronic,A,p_g,20190723,,,
62,20190718,12.5,0,ng,chronic,B,p_g,20190723,,,
63,20190718,12.5,0,ng,chronic,C,p_g,20190723,,,
64,20190718,12.5,0,ng,chronic,D,p_g,20190723,,,
65,20190718,12.5,0,ng,chronic,E,p_g,20190723,,,
66,20190718,12.5,0,ng,chronic,F,p_g,20190723,,,
67,20190718,12.5,0,ng,chronic,G,p_g,20190723,,,
68,20190718,12.5,0,ng,chronic,H,p_g,20190723,,,
69,20190718,12.5,0,ng,chronic,I,p_g,20190723,,,
70,20190718,12.5,0,ng,chronic,J,p_g,20190723,,,
71,20190718,12.5,0,ng,chronic,K,p_g,20190723,,,
72,20190718,12.5,0,ng,chronic,L,p_g,20190723,,,
73,20190718,12.5,0,ng,chronic,M,p,20190723,,,
74,20190718,12.5,0,ng,chronic,N,p,20190723,,,
75,20190718,12.5,0,ng,chronic,O,p,20190723,,,
76,20190718,12.5,100,ng,chronic,A,p_g,20190723,,,
77,20190718,12.5,100,ng,chronic,B,p_g,20190723,,,
78,20190718,12.5,100,ng,chronic,C,p_g,20190723,,,
79,20190718,12.5,100,ng,chronic,D,p_g,20190723,,,
80,20190718,12.5,100,ng,chronic,E,p_g,20190723,,,
81,20190718,12.5,100,ng,chronic,F,p_g,20190723,,,
82,20190718,12.5,100,ng,chronic,G,p_g,20190723,,,
83,20190718,12.5,100,ng,chronic,H,p_g,20190723,,,
84,20190718,12.5,100,ng,chronic,I,p_g,20190723,,,
85,20190718,12.5,100,ng,chronic,J,p_g,20190723,,,
86,20190718,12.5,100,ng,chronic,K,p_g,20190723,,,
87,20190718,12.5,100,ng,chronic,L,p_g,20190723,,,
88,20190718,12.5,100,ng,chronic,M,p,20190723,,,
89,20190718,12.5,100,ng,chronic,N,p,20190723,,,
90,20190718,12.5,100,ng,chronic,O,p,20190723,,,
91,20190718,12.5,10000,ng,chronic,A,p_g,20190723,,,
92,20190718,12.5,10000,ng,chronic,B,p_g,20190723,,,
93,20190718,12.5,10000,ng,chronic,C,p_g,20190723,,,
94,20190718,12.5,10000,ng,chronic,D,p_g,20190723,,,
95,20190718,12.5,10000,ng,chronic,E,p_g,20190723,,,
96,20190718,12.5,10000,ng,chronic,F,p_g,20190723,,,
97,20190718,12.5,10000,ng,chronic,G,p_g,20190723,,,
98,20190718,12.5,10000,ng,chronic,H,p_g,20190723,,,
99,20190718,12.5,10000,ng,chronic,I,p_g,20190723,,,
100,20190718,12.5,10000,ng,chronic,J,p_g,20190723,,,
101,20190718,12.5,10000,ng,chronic,K,p_g,20190723,,,
102,20190718,12.5,10000,ng,chronic,L,p_g,20190723,,,
103,20190718,12.5,10000,ng,chronic,M,p,20190723,,,
104,20190718,12.5,10000,ng,chronic,N,p,20190723,,,
105,20190718,12.5,10000,ng,chronic,O,p,20190723,,,
106,20190718,12.5,1000000,ng,chronic,A,p_g,20190723,,,
107,20190718,12.5,1000000,ng,chronic,B,p_g,20190723,,,
108,20190718,12.5,1000000,ng,chronic,C,p_g,20190723,,,
109,20190718,12.5,1000000,ng,chronic,D,p_g,20190723,,,
110,20190718,12.5,1000000,ng,chronic,E,p_g,20190723,,,
111,20190718,12.5,1000000,ng,chronic,F,p_g,20190723,,,
112,20190718,12.5,1000000,ng,chronic,G,p_g,20190723,,,
113,20190718,12.5,1000000,ng,chronic,H,p_g,20190723,,,
114,20190718,12.5,1000000,ng,chronic,I,p_g,20190723,,,
115,20190718,12.5,1000000,ng,chronic,J,p_g,20190723,,,
116,20190718,12.5,1000000,ng,chronic,K,p_g,20190723,,,
117,20190718,12.5,1000000,ng,chronic,L,p_g,20190723,,,
118,20190718,12.5,1000000,ng,chronic,M,p,20190723,,,
119,20190718,12.5,1000000,ng,chronic,N,p,20190723,,,
120,20190718,12.5,1000000,ng,chronic,O,p,20190723,,,
