snail_id,date_collected,temp,caffeine_concentration,caffeine_mass_units,exposure_type,rep,mesocosm,date_dry_mass,dry_mass_g,date_poop_ash_free_dry_mass,poop_ash_free_dry_mass_g
118,20190712,12.5,1000000,ng,chronic,M,p,,,,
119,20190712,12.5,1000000,ng,chronic,N,p,,,,
120,20190712,12.5,1000000,ng,chronic,O,p,,,,
1,20190715,17.5,0,ng,chronic,A,p_g,,,,
2,20190715,17.5,0,ng,chronic,B,p_g,,,,
3,20190715,17.5,0,ng,chronic,C,p_g,,,,
4,20190715,17.5,0,ng,chronic,D,p_g,,,,
5,20190715,17.5,0,ng,chronic,E,p_g,,,,
6,20190715,17.5,0,ng,chronic,F,p_g,,,,
7,20190715,17.5,0,ng,chronic,G,p_g,,,,
8,20190715,17.5,0,ng,chronic,H,p_g,,,,
9,20190715,17.5,0,ng,chronic,I,p_g,,,,
10,20190715,17.5,0,ng,chronic,J,p_g,,,,
11,20190715,17.5,0,ng,chronic,K,p_g,,,,
12,20190715,17.5,0,ng,chronic,L,p_g,,,,
13,20190715,17.5,0,ng,chronic,M,p,,,,
14,20190715,17.5,0,ng,chronic,N,p,,,,
15,20190715,17.5,0,ng,chronic,O,p,,,,
16,20190715,17.5,100,ng,chronic,A,p_g,,,,
17,20190715,17.5,100,ng,chronic,B,p_g,,,,
18,20190715,17.5,100,ng,chronic,C,p_g,,,,
19,20190715,17.5,100,ng,chronic,D,p_g,,,,
20,20190715,17.5,100,ng,chronic,E,p_g,,,,
21,20190715,17.5,100,ng,chronic,F,p_g,,,,
22,20190715,17.5,100,ng,chronic,G,p_g,,,,
23,20190715,17.5,100,ng,chronic,H,p_g,,,,
24,20190715,17.5,100,ng,chronic,I,p_g,,,,
25,20190715,17.5,100,ng,chronic,J,p_g,,,,
26,20190715,17.5,100,ng,chronic,K,p_g,,,,
27,20190715,17.5,100,ng,chronic,L,p_g,,,,
28,20190715,17.5,100,ng,chronic,M,p,,,,
29,20190715,17.5,100,ng,chronic,N,p,,,,
30,20190715,17.5,100,ng,chronic,O,p,,,,
31,20190715,17.5,10000,ng,chronic,A,p_g,,,,
32,20190715,17.5,10000,ng,chronic,B,p_g,,,,
33,20190715,17.5,10000,ng,chronic,C,p_g,,,,
34,20190715,17.5,10000,ng,chronic,D,p_g,,,,
35,20190715,17.5,10000,ng,chronic,E,p_g,,,,
36,20190715,17.5,10000,ng,chronic,F,p_g,,,,
37,20190715,17.5,10000,ng,chronic,G,p_g,,,,
38,20190715,17.5,10000,ng,chronic,H,p_g,,,,
39,20190715,17.5,10000,ng,chronic,I,p_g,,,,
40,20190715,17.5,10000,ng,chronic,J,p_g,,,,
41,20190715,17.5,10000,ng,chronic,K,p_g,,,,
42,20190715,17.5,10000,ng,chronic,L,p_g,,,,
